Gap,Tone,tGap,Key,RT
410,2,410,C,536
140,2,140,C,730
180,2,180,C,629
400,1,400,M,451
440,1,440,M,479
80,1,80,M,555
210,1,210,M,650
360,2,360,C,447
480,2,480,C,503
70,1,70,M,413
480,1,480,M,515
140,1,140,M,439
350,1,350,M,454
130,2,130,C,443
280,2,280,C,458
70,2,70,C,468
360,1,360,M,582
470,2,470,C,426
240,2,240,C,477
120,1,120,M,405
250,1,250,M,391
370,2,370,C,447
100,2,100,C,544
410,1,410,M,515
50,2,50,C,556
370,1,370,M,396
150,2,150,C,384
280,1,280,M,377
230,1,230,M,547
380,1,380,M,496
500,1,500,C,494
200,2,200,C,421
300,1,300,M,361
460,2,460,C,420
430,1,430,M,587
220,2,220,C,494
310,2,310,C,503
220,1,220,M,357
320,2,320,C,367
420,1,420,M,426
400,2,400,C,507
80,2,80,C,532
450,2,450,C,425
320,1,320,M,296
130,1,130,M,354
230,2,230,C,476
190,1,190,M,297
60,2,60,C,440
430,2,430,C,533
250,2,250,C,414
450,1,450,M,330
160,2,160,C,435
330,2,330,C,370
60,1,60,M,470
350,2,350,C,500
190,2,190,C,405
120,2,120,M,262
170,1,170,M,397
310,1,310,M,330
500,2,500,C,314
110,1,110,M,375
380,2,380,C,434
390,2,390,C,425
270,2,270,M,246
440,2,440,C,371
210,2,210,C,413
460,1,460,M,227
50,1,50,M,442
340,2,340,C,422
260,2,260,C,337
110,2,110,C,368
420,2,420,C,343
330,1,330,M,367
390,1,390,M,344
470,1,470,M,393
270,1,270,M,318
240,1,240,M,306
180,1,180,M,329
300,2,300,C,457
490,1,490,M,309
290,1,290,M,319
490,2,490,C,480
170,2,170,C,378
200,1,200,M,502
290,2,290,C,370
340,1,340,M,361
100,1,100,M,403
150,1,150,M,419
90,2,90,C,387
90,1,90,M,380
160,1,160,M,336
260,1,260,M,354
